Name,Start Date,Role,Role Level,Vendor,Product,Prod Start Date,Prod End Date,resource product start date,resource product end date,Prod Build Location,Anchor,Work Intake Scoping,Interviewer,Security Maven,Accessibility,DevSecOps,Education Track,Location,E/C,Color (Y/N),Gender,Available for Other areas,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5
Resource 38,10/15/18,Engr,Mid,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,Y,,Y,,,,,IL,E,Y,M,Y,,,,,
Resource 39,10/29/18,Engr,Mid,,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,Y,,Y,,,Y,,IL,E,N,M,N,Legacy Java,Cloud ,IBM/Websphere,,
Resource 40,11/05/18,Engr,Mid,,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,Y,,,,,,,IL,E,Y,M,Y,,,,,
Resource 41,11/05/18,PM,,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,,,,,IL,E,N,F,,Legacy Java,Cloud ,SiteMinder,,
Resource 42,11/12/18,UX,,,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,,,,,,,,IL,E,N,F,,,Cloud ,,,
Resource 43,11/26/18,Engr,Mid,,Product 10,02/12/21,12/24/21,02/26/21,12/24/21,AZ,,,,,,,,AZ,E,N,F,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 44,12/03/18,PM,,,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,,,,,AZ,E,Y,M,,.NET,Cloud ,,,
Resource 45,12/10/18,PM,,,Product 14,03/15/21,,03/15/21,,AZ,,,,,,,,IL,E,N,F,,.NET,Cloud ,,,
Resource 46,12/17/18,Engr,Mid,,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,,,,,,,,AZ,E,N,F,,,,,,
Resource 47,12/17/18,Engr,Mid,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,,,,,AZ,E,N,M,,.NET,Cloud ,,,
Resource 48,12/17/18,Engr,Mid,,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,,,,,TX,E,N,M,,.NET,Cloud ,,,
Resource 49,01/07/19,PM,,,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,,,,,IL,E,Y,M,,Mainframe,Cloud ,,,
Resource 50,01/07/19,Engr,Mid,,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,,,,,IL,E,Y,F,N,,,,,
Resource 51,01/07/19,Engr,Junior,,Product 1,01/04/21,12/24/21,01/04/21,12/24/21,IL,Y,,Y,,Y,,,IL,E,Y,M,Y,Legacy Java,Cloud ,IBM/Websphere,,
Resource 52,01/07/19,Engr,Junior,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,IL,E,N,M,N,,,,,
Resource 53,01/14/19,Engr,Junior,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,Y,,,,,,,IL,E,N,M,N,Legacy Java,Cloud ,SiteMinder,,
Resource 54,01/14/19,Engr,Junior,,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,Y,,Y,Y,,,,IL,E,N,M,N,,Cloud ,,,
Resource 55,01/14/19,Engr,Junior,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,TX,E,Y,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 56,01/21/19,Engr,Junior,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,Y,,Y,,,,,IL,E,N,M,N,.NET,Cloud ,,,
Resource 57,01/28/19,Engr,Junior,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,IL,E,N,M,N,.NET,Cloud ,,,
Resource 58,02/04/19,PM,,,Product 1,01/04/21,12/24/21,01/04/21,12/24/21,IL,,,,,,,,IL,E,N,F,,,,,,
Resource 59,02/04/19,Engr,Junior,,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,,,,IL,E,Y,M,N,.NET,Cloud ,,,
Resource 60,02/04/19,Engr,Junior,,Product 10,02/12/21,12/24/21,02/26/21,12/24/21,AZ,Y,,Y,,,,,IL,E,N,M,N,.NET,Cloud ,,,
Resource 61,03/04/19,Engr,Junior,,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,,,,,,,,IL,E,Y,M,N,Mainframe,Cloud ,,,
Resource 62,03/18/19,Engr,Junior,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,Y,,,,TX,E,N,M,,,Cloud ,,,
Resource 63,04/01/19,Engr,Junior,,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,,,,,IL,E,N,M,N,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 64,04/15/19,Engr,Junior,,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,Y,,,,IL,E,N,F,N,.NET,Cloud ,,,
Resource 65,04/15/19,Engr,Mid,,Product 1,01/04/21,12/24/21,01/04/21,05/31/21,IL,Y,,Y,,,,,IL,E,Y,M,Y,.NET,Cloud ,,,
Resource 66,04/22/19,UX,,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,AZ,E,N,F,,,,,,
Resource 67,04/22/19,Engr,Mid,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,Y,,,,TX,E,N,M,,.NET,Cloud ,,,
Resource 68,05/06/19,Engr,Mid,,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,Y,,,,,,,IL,E,N,M,N,.NET,Cloud ,,,
Resource 69,06/03/19,Engr,Mid,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,Y,,,TX,E,N,M,,Mainframe,Cloud ,,,
Resource 70,06/03/19,Engr,Mid,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,,,,TX,E,N,M,,,Cloud ,,,
Resource 71,06/10/19,Engr,Mid,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,Y,,Y,,,,,IL,E,N,M,N,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 72,06/10/19,Engr,Mid,,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,,,,,,,,AZ,E,Y,F,,.NET,Cloud ,,,
Resource 73,06/17/19,Engr,Mid,,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,Y,,Y,,,,,IL,E,N,M,N,.NET,Cloud ,,,
Resource 74,06/17/19,Engr,Mid,,Product 10,02/12/21,12/24/21,02/26/21,06/25/21,AZ,,,,Y,,,,AZ,E,Y,M,,,,,,
Resource 75,06/24/19,Engr,Mid,,Product 11,03/01/21,10/29/21,03/01/21,08/20/21,TX,,,,,,,,AZ,E,N,M,,.NET,Cloud ,,,
Resource 76,10/14/19,Engr,Mid,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,,,,,IL,E,N,M,,.NET,Cloud ,,,
Resource 77,10/21/19,Engr,Mid,,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,Y,,,,IL,E,Y,M,,Mainframe,Cloud ,,,
Resource 78,11/18/19,Engr,Mid,,Product 14,03/15/21,,03/15/21,,AZ,,,,,Y,,,AZ,E,Y,F,,,Cloud ,,,
Resource 79,11/18/19,Engr,Mid,Vendor 1,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,,,,,IL,C,Y,F,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 81,01/06/20,UX,,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,,,,IL,E,N,M,,.NET,Cloud ,,,
Resource 82,01/13/20,UX,,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,IL,E,N,F,,.NET,Cloud ,,,
Resource 83,01/13/20,UX,,,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,,,,,,,,IL,E,N,M,,,,,,
Resource 84,02/10/20,UX,,,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,,,,IL,E,N,F,,.NET,Cloud ,,,
Resource 85,02/10/20,UX,,,Product 10,02/12/21,12/24/21,02/12/21,12/24/21,AZ,,,,,,,,TX,E,Y,M,,.NET,Cloud ,,,
Resource 86,03/16/20,UX,,,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,,,,,,,,AZ,E,N,F,,Mainframe,Cloud ,,,
Resource 87,03/16/20,UX,,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,,,,,IL,E,N,M,,,Cloud ,,,
Resource 91,04/27/20,Engr ,Senior,Vendor 9,Product 16,03/22/21,09/24/21,04/27/21,06/25/21,IL,,,,,,,,AZ,C,N,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 93,05/11/20,PM,,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,IL,E,Y,M,,.NET,Cloud ,,,
Resource 95,05/25/20,Engr ,Junior,Vendor 1,Product 1,01/04/21,12/24/21,01/04/21,12/24/21,IL,,,,,,,,IL,C,N,M,,.NET,Cloud ,,,
Resource 96,06/01/20,PM,,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,,,,,IL,E,Y,F,,,,,,
Resource 97,06/01/20,Engr,Junior,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,IL,E,N,M,,.NET,Cloud ,,,
Resource 98,06/15/20,UX,,,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,,,,,IL,E,Y,M,,.NET,Cloud ,,,
Resource 99,06/22/20,Engr,Junior,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,,,,,IL,E,N,M,,Mainframe,Cloud ,,,
Resource 102,07/13/20,Engr ,Junior,Vendor 9,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,,,,,,,,IL,C,N,M,,,Cloud ,,,
Resource 103,07/13/20,Engr ,Junior,Vendor 1,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,TX,C,N,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 104,07/13/20,Engr,Junior,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,Y,,,IL,E,Y,M,,.NET,Cloud ,,,
Resource 105,07/13/20,Engr ,Junior,Vendor 1,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,IL,C,Y,M,,.NET,Cloud ,,,
Resource 106,08/03/20,Engr,Junior,Vednor 3,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,,,,,,,,IL,C,Y,M,,,Cloud ,,,
Resource 107,08/03/20,Engr,Junior,,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,Y,,,IL,E,N,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 109,08/10/20,Engr,Junior,Vednor 3,Product 10,02/12/21,12/24/21,02/26/21,12/24/21,AZ,,,,,,,,IL,C,Y,F,,.NET,Cloud ,,,
Resource 110,08/10/20,Engr ,Junior,Vednor 4,Product 11,03/01/21,10/29/21,03/01/21,08/20/21,TX,,,,,,,,AZ,C,N,F,,.NET,Cloud ,,,
Resource 111,08/17/20,Engr,Junior,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,Y,,,,,,,IL,E,N,F,,,,,,
Resource 112,08/24/20,Engr ,Junior,Vendor 9,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,,,,,IL,C,Y,F,,.NET,Cloud ,,,
Resource 113,08/31/20,Engr ,Junior,Vednor 4,Product 14,03/15/21,,03/15/21,,AZ,,,,,,,,IL,C,Y,M,,.NET,Cloud ,,,
Resource 114,09/08/20,Engr,Junior,,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,,,,,IL,E,Y,M,,Mainframe,Cloud ,,,
Resource 115,09/08/20,Engr,Mid,,Product 1 ,01/04/21,12/24/21,01/04/21,12/24/21,IL,,,Y,,,,,IL,E,Y,M,,,Cloud ,,,
Resource 117,09/13/20,Engr,Mid,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,IL,E,N,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 122,09/14/20,Engr,Mid,Vednor 3,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,,,,,TX,C,N,F,,.NET,Cloud ,,,
Resource 123,09/14/20,UX,,,Product 14,03/15/21,,03/15/21,,AZ,,,,,,,,IL,E,N,M,,.NET,Cloud ,,,
Resource 124,09/21/20,Engr,Mid,,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,,,,,,,,TX,E,Y,F,,,,,,
Resource 125,09/21/20,Engr,Mid,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,AZ,E,Y,M,,.NET,Cloud ,,,
Resource 127,09/21/20,Engr,Mid,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,,,,AZ,E,N,M,,.NET,Cloud ,,,
Resource 128,09/28/20,Engr ,Mid,Vendor 9,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,IL,C,Y,M,,Mainframe,Cloud ,,,
Resource 129,09/28/20,UX,,,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,,,,,IL,E,N,M,,,Cloud ,,,
Resource 130,09/28/20,Engr,Mid,,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,,,Y,,,,,IL,E,Y,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 133,10/12/20,Engr ,Mid,Vednor 4,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,,,,IL,C,Y,F,,.NET,Cloud ,,,
Resource 134,10/19/20,UX,,,Product 1,01/04/21,12/24/21,01/04/21,12/24/21,IL,,,,,,,,IL,E,Y,F,,.NET,Cloud ,,,
Resource 136,10/19/20,UX,,Vendor 4,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,AZ,C,N,F,,,,,,
Resource 138,11/02/20,Engr ,Mid,Vednor 4,Product 10,02/12/21,12/24/21,02/26/21,12/24/21,AZ,,,,,,,,AZ,C,Y,M,,.NET,Cloud ,,,
Resource 139,11/02/20,Engr ,Mid,Vendor 9,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,,,,,,,,AZ,C,N,M,,.NET,Cloud ,,,
Resource 140,11/09/20,Engr ,Mid,Vednor 4,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,,,,,AZ,C,Y,M,,Mainframe,Cloud ,,,
Resource 142,11/16/20,Engr,Mid,Vednor 3,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,,,,,IL,C,N,F,,,Cloud ,,,
Resource 144,11/16/20,UX,,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,,,,,AZ,E,N,F,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 146,11/30/20,PM ,,,,,,,,,,,,,,,,TX,E,N,F,,.NET,Cloud ,,,
Resource 147,11/30/20,UX,,Vendor 4,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,,,,,,,,IL,C,Y,M,,.NET,Cloud ,,,
Resource 148,12/14/20,Engr ,Mid,Vednor 4,Product 14,03/15/21,,03/15/21,,AZ,,,,,,,,IL,C,N,F,,,,,,
Resource 149,12/14/20,Engr ,Mid,Vednor 7,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,,,,,TX,C,N,F,,.NET,Cloud ,,,
Resource 150,12/14/20,Engr ,Junior,Vendor 1,Product 1 ,01/04/21,12/24/21,01/04/21,12/24/21,IL,,,,,,,,IL,C,N,M,,.NET,Cloud ,,,
Resource 151,12/21/20,Engr ,Junior,Vednor 4,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,IL,C,N,M,,Mainframe,Cloud ,,,
Resource 152,01/04/21,PM ,,,,,,,,,,,,,,,,IL,E,Y,M,,,Cloud ,,,
Resource 153,01/04/21,Engr,Junior,Vednor 3,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,,,,,IL,C,Y,F,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 154,01/04/21,Engr,Junior,,,,,,,,,,,,Y,,,TX,E,Y,M,,.NET,Cloud ,,,
Resource 155,01/11/21,Engr,Junior,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,AZ,E,N,M,,.NET,Cloud ,,,
Resource 156,01/11/21,Engr,Junior,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,,,,AZ,E,N,M,,,,,,
Resource 157,01/17/21,Engr,Junior,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,IL,E,N,M,,.NET,Cloud ,,,
Resource 158,01/25/21,UX ,,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,IL,E,Y,M,,.NET,Cloud ,,,
Resource 159,02/01/21,Engr ,Junior,Vednor 4,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,,,,,,,,AZ,C,N,M,,Mainframe,Cloud ,,,
Resource 160,02/08/21,UX,,Vendor 4,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,,,,IL,C,N,M,,,Cloud ,,,
Resource 161,02/08/21,Engr ,Junior,Vednor 4,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,,,,AZ,C,N,F,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 162,02/15/21,Engr ,Junior,Vendor 5,Product 10,02/12/21,12/24/21,02/26/21,07/23/21,AZ,,,,,,,,IL,C,Y,M,,.NET,Cloud ,,,
Resource 163,02/15/21,Engr ,Junior,Vendor 5,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,,,,,,,,IL,C,N,M,,.NET,Cloud ,,,
Resource 164,02/15/21,Engr ,Junior,Vendor 5,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,,,,,TX,C,Y,M,,,,,,
Resource 165,02/15/21,Engr ,Junior,Vendor 5,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,,,,,,,,AZ,C,N,M,,.NET,Cloud ,,,
Resource 166,03/01/21,Engr ,Junior,Vendor 5,Product 14,03/15/21,,03/15/21,,AZ,,,,,,,,IL,C,N,M,,.NET,Cloud ,,,
Resource 167,03/03/21,Engr ,Junior,Vednor 4,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,,,,,,,,AZ,C,N,F,,Mainframe,Cloud ,,,
Resource 168,03/03/21,Engr ,Mid,Vendor 5,Product 1 ,01/04/21,12/24/21,03/03/21,12/24/21,IL,,,,,,,,IL,C,Y,M,,,,,,
Resource 169,03/08/21,PM,,,,,,,,,,,,,,,,AZ,E,N,F,,Legacy Java,Cloud ,IBM/Websphere,,
Resource 170,03/08/21,Engr,Mid,Vednor 3,Product 2,01/24/21,12/24/21,03/08/21,12/24/21,AZ,,,,,,,,IL,C,N,M,,,,,,
Resource 171,03/15/21,Engr,Mid,,Product 3,01/31/21,12/24/21,03/15/21,12/17/21,IL,,,,,,,,AZ,E,N,M,,Legacy Java,Cloud ,SiteMinder,,
Resource 172,03/15/21,Engr ,Mid,Vendor 6,Product 4,02/07/21,05/21/21,03/15/21,05/21/21,IL,,,,,,,,AZ,C,N,M,,,Cloud ,,,
Resource 173,03/15/21,UX,,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,TX,E,N,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 174,03/15/21,UX ,,Vendor 6,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,,,,,,,,AZ,C,N,M,,.NET,Cloud ,,,
Resource 175,03/15/21,PM,,Vendor 7,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,,,,,,,,AZ,C,Y,F,,.NET,Cloud ,,,
Resource 176,03/15/21,PM,,Vendor 7,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,IL,C,N,M,,,,,,
Resource 177,03/15/21,Engr,Mid,Vendor 1,Product 5,02/21/21,12/03/21,03/15/21,12/03/21,AZ,,,,,,,,TX,C,Y,M,,.NET,Cloud ,,,
Resource 178,03/15/21,UX ,,Vendor 6,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,,,,RI,C,N,M,,.NET,Cloud ,,,
Resource 179,03/22/21,Engr ,Mid,Vendor 6,Product 6,02/28/21,12/17/21,03/22/21,12/17/21,AZ,,,,,,,,AZ,C,N,M,,Mainframe,Cloud ,,,
Resource 180,03/22/21,Engr ,Mid,Vendor 5,Product 7,03/14/21,11/19/21,03/22/21,11/19/21,IL,,,,,,,,IL,C,Y,M,,,,,,
Resource 181,03/22/21,Engr,Mid,,,,,,,,,,,,,,,TX,E,Y,F,,Legacy Java,Cloud ,IBM/Websphere,,
Resource 182,03/22/21,PM,,,,,,,,,,,,,,,,TX,E,Y,F,,,,,,
Resource 183,03/22/21,Engr ,Mid,Vednor 4,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,,,,IL,C,N,M,,Legacy Java,Cloud ,SiteMinder,,
Resource 184,03/22/21,Engr ,Mid,Vendor 6,Product 10,02/12/21,12/24/21,03/22/21,12/24/21,AZ,,,,,,,,AZ,C,N,F,,,Cloud ,,,
Resource 185,03/29/21,UX,,Vendor 4,,,,,, ,,,,,,,,IL,C,N,M,,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 186,03/29/21,UX,,,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,,,,,,,,IL,E,N,F,,.NET,Cloud ,,,
Resource 187,03/29/21,UX,,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,,,,,,,,IL,E,Y,M,,.NET,Cloud ,,,
